variant,step,population,num_traces,reward_mean
echo005,17,retained_trainable,128,0.576953125
echo005,18,retained_trainable,128,0.5703125
echo005,19,retained_trainable,128,0.6653645833333334
echo005,20,retained_trainable,130,0.7337179487179488
echo005,21,retained_trainable,128,0.6391927083333333
echo005,22,retained_trainable,128,0.6256510416666666
echo005,23,retained_trainable,128,0.75546875
echo005,24,retained_trainable,128,0.6936197916666667
echo005,25,retained_trainable,122,0.5930327868852459
echo005,26,retained_trainable,130,0.6988461538461538
echo005,27,retained_trainable,132,0.6532828282828282
echo005,28,retained_trainable,128,0.5454427083333333
echo005,29,retained_trainable,126,0.6587301587301587
echo005,30,retained_trainable,128,0.5973958333333333
echo005,31,retained_trainable,128,0.67109375
echo005,32,retained_trainable,128,0.6360677083333334
echo005,33,retained_trainable,128,0.6333333333333333
echo005,34,retained_trainable,128,0.593359375
echo005,35,retained_trainable,128,0.6641927083333333
echo005,36,retained_trainable,128,0.6567708333333333
echo005,37,retained_trainable,128,0.6432291666666666
echo005,38,retained_trainable,128,0.5635416666666666
echo005,39,retained_trainable,128,0.70625
echo005,40,retained_trainable,128,0.726953125
echo005,41,retained_trainable,128,0.5944010416666666
echo005,42,retained_trainable,128,0.6002604166666666
echo005,43,retained_trainable,128,0.6615885416666667
echo005,44,retained_trainable,128,0.626953125
echo005,45,retained_trainable,128,0.5446614583333333
echo005,46,retained_trainable,128,0.5877604166666667
echo005,47,retained_trainable,128,0.6388020833333333
echo005,48,retained_trainable,128,0.6408854166666667
echo005,49,retained_trainable,128,0.6287760416666667
echo005,50,retained_trainable,128,0.6205729166666667
echo005,51,retained_trainable,128,0.5979166666666667
echo005,52,retained_trainable,128,0.6638020833333333
echo005,53,retained_trainable,128,0.5364583333333334
echo005,54,retained_trainable,128,0.5583333333333333
echo005,55,retained_trainable,128,0.5967447916666666
echo005,56,retained_trainable,128,0.5791666666666666
echo005,57,retained_trainable,128,0.5416666666666666
echo005,58,retained_trainable,128,0.5885416666666666
echo005,59,retained_trainable,128,0.5458333333333333
echo005,60,retained_trainable,128,0.5791666666666666
echo005,61,retained_trainable,128,0.5614583333333333
echo005,62,retained_trainable,128,0.5177083333333333
echo005,63,retained_trainable,128,0.5666666666666667
echo005,64,retained_trainable,128,0.5541666666666667
echo005,65,retained_trainable,128,0.575
echo005,66,retained_trainable,128,0.5515625
echo005,67,retained_trainable,128,0.5291666666666667
echo005,68,retained_trainable,128,0.5833333333333334
echo005,69,retained_trainable,128,0.5583333333333333
echo005,70,retained_trainable,128,0.6063802083333333
echo005,71,retained_trainable,128,0.5760416666666667
echo005,72,retained_trainable,128,0.5572916666666666
echo005,73,retained_trainable,128,0.571875
echo005,74,retained_trainable,128,0.5772135416666666
echo005,75,retained_trainable,128,0.53359375
echo005,76,retained_trainable,128,0.5674479166666666
echo005,77,retained_trainable,128,0.465625
echo005,78,retained_trainable,128,0.5365885416666667
echo005,79,retained_trainable,128,0.595703125
echo005,80,retained_trainable,128,0.48932291666666666
echo005,81,retained_trainable,128,0.6381510416666667
echo005,82,retained_trainable,128,0.47994791666666664
echo005,83,retained_trainable,128,0.5481770833333334
echo005,84,retained_trainable,128,0.515625
echo005,85,retained_trainable,128,0.483984375
echo005,86,retained_trainable,128,0.546875
echo005,87,retained_trainable,134,0.6232587064676617
echo005,88,retained_trainable,128,0.61953125
echo005,89,retained_trainable,128,0.6279947916666667
echo005,90,retained_trainable,128,0.5951822916666667
echo005,91,retained_trainable,124,0.6190860215053763
echo005,92,retained_trainable,128,0.5338541666666666
echo005,93,retained_trainable,128,0.64453125
echo005,94,retained_trainable,128,0.5122395833333333
echo005,95,retained_trainable,128,0.5674479166666667
echo005,96,retained_trainable,127,0.6383202099737533
echo005,97,retained_trainable,128,0.5934895833333333
echo005,98,retained_trainable,128,0.553125
echo005,99,retained_trainable,128,0.60859375
echo005,100,retained_trainable,128,0.6572916666666667
echo050,1,retained_trainable,128,0.4303385416666667
echo050,2,retained_trainable,128,0.4022135416666667
echo050,3,retained_trainable,130,0.40705128205128205
echo050,4,retained_trainable,132,0.48295454545454547
echo050,5,retained_trainable,128,0.5106770833333333
echo050,6,retained_trainable,124,0.5228494623655914
echo050,7,retained_trainable,130,0.4207692307692308
echo050,8,retained_trainable,126,0.4756613756613756
echo050,9,retained_trainable,126,0.4806878306878307
echo050,10,retained_trainable,128,0.5454427083333333
echo050,11,retained_trainable,134,0.49191542288557216
echo050,12,retained_trainable,122,0.523224043715847
echo050,13,retained_trainable,134,0.4595771144278607
echo050,14,retained_trainable,126,0.5101851851851852
echo050,15,retained_trainable,128,0.630859375
echo050,16,retained_trainable,124,0.6821236559139785
echo050,17,retained_trainable,128,0.489453125
echo050,18,retained_trainable,128,0.5390625
echo050,19,retained_trainable,128,0.6201822916666667
echo050,20,retained_trainable,128,0.6024739583333333
echo050,21,retained_trainable,135,0.5832098765432099
echo050,22,retained_trainable,128,0.5266927083333334
echo050,23,retained_trainable,128,0.64453125
echo050,24,retained_trainable,126,0.5842592592592593
echo050,25,retained_trainable,126,0.5384920634920635
echo050,26,retained_trainable,128,0.6319010416666666
echo050,27,retained_trainable,126,0.5556878306878307
echo050,28,retained_trainable,128,0.5819010416666667
echo050,29,retained_trainable,128,0.6123697916666667
echo050,30,retained_trainable,128,0.5608072916666667
echo050,31,retained_trainable,130,0.5182051282051282
echo050,32,retained_trainable,128,0.6842447916666666
echo050,33,retained_trainable,130,0.5384615384615384
echo050,34,retained_trainable,128,0.53046875
echo050,35,retained_trainable,125,0.5928
echo050,36,retained_trainable,128,0.562890625
echo050,37,retained_trainable,128,0.6111979166666667
echo050,38,retained_trainable,132,0.5851010101010101
echo050,39,retained_trainable,128,0.70546875
echo050,40,retained_trainable,123,0.6237127371273713
echo050,41,retained_trainable,128,0.5951822916666667
echo050,42,retained_trainable,128,0.6166666666666667
echo050,43,retained_trainable,128,0.6645833333333333
echo050,44,retained_trainable,128,0.6786458333333333
echo050,45,retained_trainable,134,0.6712686567164179
echo050,46,retained_trainable,125,0.6045333333333333
echo050,47,retained_trainable,130,0.6541025641025641
echo050,48,retained_trainable,124,0.6698924731182795
echo050,49,retained_trainable,128,0.6845052083333333
echo050,50,retained_trainable,128,0.5856770833333333
echo050,51,retained_trainable,128,0.666796875
echo050,52,retained_trainable,128,0.6490885416666666
echo050,53,retained_trainable,128,0.6477864583333334
echo050,54,retained_trainable,128,0.76171875
echo050,55,retained_trainable,128,0.6833333333333333
echo050,56,retained_trainable,128,0.7946614583333333
echo050,57,retained_trainable,128,0.6744791666666666
echo050,58,retained_trainable,128,0.7106770833333333
echo050,59,retained_trainable,130,0.7125641025641025
echo050,60,retained_trainable,132,0.6828282828282828
echo050,61,retained_trainable,128,0.6252604166666667
echo050,62,retained_trainable,128,0.683984375
echo050,63,retained_trainable,128,0.7479166666666667
echo050,64,retained_trainable,128,0.6424479166666667
echo050,65,retained_trainable,128,0.6182291666666666
echo050,66,retained_trainable,128,0.67421875
echo050,67,retained_trainable,128,0.6859375
echo050,68,retained_trainable,128,0.6244791666666667
echo050,69,retained_trainable,128,0.6822916666666666
echo050,70,retained_trainable,128,0.63125
echo050,71,retained_trainable,128,0.5885416666666666
echo050,72,retained_trainable,128,0.6669270833333333
echo050,73,retained_trainable,128,0.6368489583333333
echo050,74,retained_trainable,128,0.6513020833333333
echo050,75,retained_trainable,128,0.7033854166666667
echo050,76,retained_trainable,128,0.609375
echo050,77,retained_trainable,128,0.533984375
echo050,78,retained_trainable,128,0.7065104166666667
echo050,79,retained_trainable,128,0.7393229166666666
echo050,80,retained_trainable,128,0.64921875
echo050,81,retained_trainable,128,0.6239583333333333
echo050,82,retained_trainable,128,0.65625
echo050,83,retained_trainable,128,0.6768229166666666
echo050,84,retained_trainable,128,0.66953125
echo050,85,retained_trainable,128,0.6763020833333333
echo050,86,retained_trainable,128,0.6377604166666666
echo050,87,retained_trainable,128,0.6354166666666666
echo050,88,retained_trainable,128,0.6427083333333333
echo050,89,retained_trainable,128,0.6026041666666666
echo050,90,retained_trainable,128,0.6294270833333333
echo050,91,retained_trainable,128,0.66015625
echo050,92,retained_trainable,128,0.68125
echo050,93,retained_trainable,128,0.6302083333333334
echo050,94,retained_trainable,128,0.6598958333333333
echo050,95,retained_trainable,128,0.6276041666666666
echo050,96,retained_trainable,128,0.6276041666666666
echo050,97,retained_trainable,128,0.6192708333333333
echo050,98,retained_trainable,128,0.6057291666666667
echo050,99,retained_trainable,128,0.625
echo050,100,retained_trainable,128,0.7033854166666667
echo100,1,retained_trainable,132,0.4703282828282829
echo100,2,retained_trainable,130,0.44961538461538464
echo100,3,retained_trainable,128,0.390625
echo100,4,retained_trainable,126,0.4936507936507937
echo100,5,retained_trainable,126,0.4358465608465608
echo100,6,retained_trainable,132,0.4642676767676768
echo100,7,retained_trainable,124,0.592741935483871
echo100,8,retained_trainable,129,0.4992248062015504
echo100,9,retained_trainable,128,0.48919270833333334
echo100,10,retained_trainable,128,0.5537760416666667
echo100,11,retained_trainable,128,0.43359375
echo100,12,retained_trainable,126,0.6014550264550265
echo100,13,retained_trainable,128,0.48997395833333335
echo100,14,retained_trainable,128,0.4884114583333333
echo100,15,retained_trainable,128,0.5895833333333333
echo100,16,retained_trainable,128,0.6497395833333334
echo100,17,retained_trainable,129,0.5501291989664083
echo100,18,retained_trainable,128,0.550390625
echo100,19,retained_trainable,130,0.6
echo100,20,retained_trainable,128,0.6095052083333333
echo100,21,retained_trainable,128,0.6079427083333333
echo100,22,retained_trainable,126,0.6173280423280423
echo100,23,retained_trainable,128,0.5532552083333333
echo100,24,retained_trainable,132,0.5353535353535354
echo100,25,retained_trainable,128,0.5716145833333334
echo100,26,retained_trainable,128,0.6020833333333333
echo100,27,retained_trainable,128,0.6756510416666667
echo100,28,retained_trainable,128,0.5002604166666667
echo100,29,retained_trainable,128,0.541015625
echo100,30,retained_trainable,128,0.5677083333333334
echo100,31,retained_trainable,124,0.5618279569892474
echo100,32,retained_trainable,128,0.5395833333333333
echo100,33,retained_trainable,128,0.7096354166666666
echo100,34,retained_trainable,128,0.539453125
echo100,35,retained_trainable,130,0.5357692307692308
echo100,36,retained_trainable,127,0.5501312335958005
echo100,37,retained_trainable,128,0.5229166666666667
echo100,38,retained_trainable,128,0.6118489583333333
echo100,39,retained_trainable,128,0.5286458333333334
echo100,40,retained_trainable,128,0.6736979166666667
echo100,41,retained_trainable,128,0.6739583333333333
echo100,42,retained_trainable,128,0.5173177083333333
echo100,43,retained_trainable,128,0.5501302083333334
echo100,44,retained_trainable,128,0.644140625
echo100,45,retained_trainable,128,0.5692708333333333
echo100,46,retained_trainable,128,0.6184895833333334
echo100,47,retained_trainable,128,0.60390625
echo100,48,retained_trainable,128,0.6670572916666666
echo100,49,retained_trainable,128,0.551953125
echo100,50,retained_trainable,128,0.4752604166666667
echo100,51,retained_trainable,128,0.60859375
echo100,52,retained_trainable,134,0.5144278606965175
echo100,53,retained_trainable,128,0.69765625
echo100,54,retained_trainable,128,0.621484375
echo100,55,retained_trainable,128,0.6916666666666667
echo100,56,retained_trainable,128,0.6091145833333333
echo100,57,retained_trainable,127,0.5992125984251968
echo100,58,retained_trainable,128,0.7048177083333333
echo100,59,retained_trainable,128,0.6436197916666666
echo100,60,retained_trainable,128,0.695703125
echo100,61,retained_trainable,127,0.6879265091863517
echo100,62,retained_trainable,128,0.69765625
echo100,63,retained_trainable,128,0.590625
echo100,64,retained_trainable,128,0.7291666666666666
echo100,65,retained_trainable,128,0.6856770833333333
echo100,66,retained_trainable,128,0.6791666666666667
echo100,67,retained_trainable,128,0.687890625
echo100,68,retained_trainable,128,0.6272135416666667
echo100,69,retained_trainable,128,0.6680989583333333
echo100,70,retained_trainable,128,0.6578125
echo100,71,retained_trainable,128,0.6828125
echo100,72,retained_trainable,128,0.710546875
echo100,73,retained_trainable,128,0.741015625
echo100,74,retained_trainable,128,0.7069010416666667
echo100,75,retained_trainable,128,0.6485677083333333
echo100,76,retained_trainable,128,0.6967447916666667
echo100,77,retained_trainable,128,0.6942708333333333
echo100,78,retained_trainable,128,0.74296875
echo100,79,retained_trainable,128,0.6197916666666666
echo100,80,retained_trainable,128,0.7360677083333333
echo100,81,retained_trainable,128,0.6515625
echo100,82,retained_trainable,128,0.64296875
echo100,83,retained_trainable,128,0.62265625
echo100,84,retained_trainable,128,0.6359375
echo100,85,retained_trainable,128,0.682421875
echo100,86,retained_trainable,128,0.659375
echo100,87,retained_trainable,128,0.6915364583333333
echo100,88,retained_trainable,128,0.7369791666666666
echo100,89,retained_trainable,128,0.6947916666666667
echo100,90,retained_trainable,128,0.7305989583333333
echo100,91,retained_trainable,128,0.6716145833333333
echo100,92,retained_trainable,128,0.6744791666666666
echo100,93,retained_trainable,128,0.6946614583333334
echo100,94,retained_trainable,128,0.65625
echo100,95,retained_trainable,128,0.6962239583333333
echo100,96,retained_trainable,128,0.6791666666666667
echo100,97,retained_trainable,128,0.715625
echo100,98,retained_trainable,128,0.7169270833333333
echo100,99,retained_trainable,128,0.69453125
echo100,100,retained_trainable,128,0.7463541666666667
