variant,step,reward_mean,training_run_sd,num_training_runs
rlonly,1,0.43316460565760934,0.023967523628481386,3
rlonly,2,0.4128524823021092,0.030268792676324287,3
rlonly,3,0.4249240497828288,0.008929282992517296,3
rlonly,4,0.4512017178926772,0.01521732544920896,3
rlonly,5,0.4674154341432016,0.005232427678233004,3
rlonly,6,0.48716035565514737,0.01625300584864873,3
rlonly,7,0.5196679088658255,0.03086486934195759,3
rlonly,8,0.5319898885836386,0.03642779204937791,3
rlonly,9,0.5325688148656899,0.04616746084996466,3
rlonly,10,0.5425470467032967,0.03510160545776101,3
rlonly,11,0.5385410559116809,0.025111245206533555,3
rlonly,12,0.5438129555179801,0.02421029972999378,3
rlonly,13,0.5734136499624246,0.024342290849920293,3
rlonly,14,0.5787329608598605,0.025599379790706995,3
rlonly,15,0.5732635431248178,0.04281126173499008,3
rlonly,16,0.5892944690507437,0.03321839910021696,3
rlonly,17,0.5952118055555555,0.021279194306832307,3
rlonly,18,0.5851586962420295,0.0092639689402789,3
rlonly,19,0.5825806315535819,0.027684104318310667,3
rlonly,20,0.600522230500348,0.022178654696580896,3
rlonly,21,0.6004517495716583,0.031590563505929675,3
rlonly,22,0.5957172643423813,0.037285601636594515,3
rlonly,23,0.5870109873641277,0.04088039937388709,3
rlonly,24,0.6054876898730882,0.04170763312302178,3
rlonly,25,0.6112871432767494,0.03752181651133653,3
rlonly,26,0.6078941588513489,0.04677015408315884,3
rlonly,27,0.6122466996361813,0.04979571653291625,3
rlonly,28,0.6298482034652744,0.059053448181347855,3
rlonly,29,0.625655495131941,0.06745837016471992,3
rlonly,30,0.615180928417791,0.05582030223172785,3
rlonly,31,0.6346686993274369,0.04862498702846308,3
rlonly,32,0.6441126176776053,0.036319248917566216,3
rlonly,33,0.6401010289864456,0.038300573950218804,3
rlonly,34,0.64556109843089,0.026711312368167456,3
rlonly,35,0.6504636833074332,0.031047899456487803,3
rlonly,36,0.6497865999740999,0.039898766725130375,3
rlonly,37,0.6452819177350427,0.04274058655092866,3
rlonly,38,0.6381597222222223,0.036830727724306074,3
rlonly,39,0.6359461805555555,0.05135058999475671,3
rlonly,40,0.6300954861111111,0.04522382916952134,3
rlonly,41,0.6319222449908924,0.0496955174242031,3
rlonly,42,0.6303857866575592,0.04994763613634835,3
rlonly,43,0.6375298838797815,0.06254553427110049,3
rlonly,44,0.6351861338797814,0.05720591891220771,3
rlonly,45,0.6351080088797815,0.0673088873440286,3
rlonly,46,0.6253385416666667,0.061552061518090034,3
rlonly,47,0.625078125,0.06175900256469869,3
rlonly,48,0.6244791666666667,0.04823281545547756,3
rlonly,49,0.625920138888889,0.05083088742123332,3
rlonly,50,0.6204600694444444,0.04254148631732771,3
rlonly,51,0.623203125,0.042510729663247836,3
rlonly,52,0.6214236111111111,0.04236169455426985,3
rlonly,53,0.6136805555555556,0.05351562711205728,3
rlonly,54,0.6066232638888889,0.042480099741639125,3
rlonly,55,0.6043315972222222,0.029676879648836956,3
rlonly,56,0.5958940972222222,0.021306704325944448,3
rlonly,57,0.6046267361111112,0.015231778031261906,3
rlonly,58,0.6187934027777778,0.010972177583198557,3
rlonly,59,0.620876736111111,0.007654493019300718,3
rlonly,60,0.6263194444444444,0.01964096499123796,3
rlonly,61,0.6248611111111111,0.012370020100229898,3
rlonly,62,0.6128819444444444,0.00905839576204463,3
