schedule,step,train_reward
echo50_rl150,188,0.6646
echo50_rl150,189,0.6109
echo50_rl150,190,0.6719
echo50_rl150,191,0.7091
echo50_rl150,192,0.5846
echo50_rl150,193,0.7086
echo50_rl150,194,0.6203
echo50_rl150,195,0.6794
echo50_rl150,196,0.6214
echo50_rl150,197,0.6589
echo50_rl150,198,0.5919
echo50_rl150,199,0.6896
echo50_rl150,200,0.6
rl50_echo150,1,0.4745
rl50_echo150,2,0.4319
rl50_echo150,3,0.4583
rl50_echo150,4,0.5534
rl50_echo150,5,0.5091
rl50_echo150,6,0.5685
rl50_echo150,7,0.5449
rl50_echo150,8,0.521
rl50_echo150,9,0.4981
rl50_echo150,10,0.6152
rl50_echo150,11,0.5822
rl50_echo150,12,0.5759
rl50_echo150,13,0.6521
rl50_echo150,14,0.6042
rl50_echo150,15,0.6279
rl50_echo150,16,0.663
rl50_echo150,17,0.6672
rl50_echo150,18,0.602
rl50_echo150,19,0.5887
rl50_echo150,20,0.7185
rl50_echo150,21,0.5951
rl50_echo150,22,0.6268
rl50_echo150,23,0.578
rl50_echo150,24,0.6173
rl50_echo150,25,0.6236
rl50_echo150,26,0.6646
rl50_echo150,27,0.602
rl50_echo150,28,0.6004
rl50_echo150,29,0.624
rl50_echo150,30,0.5492
rl50_echo150,31,0.6309
rl50_echo150,32,0.553
rl50_echo150,33,0.6161
rl50_echo150,34,0.6207
rl50_echo150,35,0.5859
rl50_echo150,36,0.6191
rl50_echo150,37,0.6516
rl50_echo150,38,0.5687
rl50_echo150,39,0.6609
rl50_echo150,40,0.5953
rl50_echo150,41,0.6026
rl50_echo150,42,0.6026
rl50_echo150,43,0.5984
rl50_echo150,44,0.5656
rl50_echo150,45,0.6115
rl50_echo150,46,0.6047
rl50_echo150,47,0.6345
rl50_echo150,48,0.5917
rl50_echo150,49,0.6042
rl50_echo150,50,0.5979
rl50_echo150,51,0.5875
rl50_echo150,52,0.6576
rl50_echo150,53,0.6333
rl50_echo150,54,0.5846
rl50_echo150,55,0.7219
rl50_echo150,56,0.6503
rl50_echo150,57,0.7219
rl50_echo150,58,0.6814
rl50_echo150,59,0.5942
rl50_echo150,60,0.6596
rl50_echo150,61,0.6835
rl50_echo150,62,0.6341
rl50_echo150,63,0.7522
rl50_echo150,64,0.6505
rl50_echo150,65,0.7553
rl50_echo150,66,0.7211
rl50_echo150,67,0.7461
rl50_echo150,68,0.6242
rl50_echo150,69,0.7297
rl50_echo150,70,0.7395
rl50_echo150,71,0.6805
rl50_echo150,72,0.7089
rl50_echo150,73,0.7363
