independent_run,run,step,population,rollouts,unique_tasks,reward_mean,reward_std,reward_p10,reward_median,reward_p90,success_rate,turns_mean,turns_std,ran_out_of_turns_rate,grounding_mean,invalid_actions_mean,invalid_action_rate,unrecognized_feedback_rate,adjacent_action_repeat_rate,completion_tokens_mean,prompt_tokens_processed_mean,generation_seconds_mean,policy_version_mean,policy_version_max,error_rate
2,always_on/echo_0.05,1,all_candidates,191,24,0.4886561954624782,0.4162939315800102,0.0,0.5,1.0,0.33507853403141363,15.701570680628272,6.746722892210059,0.643979057591623,0.8142928189189516,3.157068062827225,0.20106702234078025,0.051683894631543846,0.3454415954415954,58.41361256544503,26696.465968586388,56.76265661504256,0.0,0.0,0.0
2,always_on/echo_0.05,1,retained_trainable,128,16,0.4576822916666667,0.38230672281744527,0.0,0.5,1.0,0.25,17.5625,4.7840065583149025,0.71875,0.7980636768417341,3.578125,0.20373665480427047,0.05204626334519573,0.33820754716981133,64.5,30081.6796875,63.82448363304138,0.0,0.0,0.0
2,always_on/echo_0.05,2,all_candidates,144,20,0.4335648148148148,0.42165525763693135,0.0,0.3333333333333333,1.0,0.3125,15.54861111111111,7.098346698264704,0.6875,0.8007206801888819,3.5833333333333335,0.23046002679767755,0.08977221974095578,0.3136038186157518,61.21527777777778,26820.618055555555,59.0576408157746,0.034722222222222224,1.0,0.0
2,always_on/echo_0.05,2,retained_trainable,128,16,0.405078125,0.39274871915320664,0.0,0.3333333333333333,1.0,0.25,16.5078125,6.562197723693164,0.75,0.7842728760183529,4.0546875,0.2456223379081874,0.10222432560340748,0.31435768261964736,66.2734375,28351.0234375,61.89711946249008,0.0,0.0,0.0
2,always_on/echo_0.05,3,all_candidates,163,22,0.48773006134969327,0.3981288384261651,0.0,0.5,1.0,0.3128834355828221,15.52760736196319,6.865323984808548,0.6687116564417178,0.780247921812339,3.834355828220859,0.24693796918214145,0.13433425523508494,0.2964527027027027,65.50920245398773,25718.386503067486,67.92032576192376,1.5644171779141105,2.0,0.0
2,always_on/echo_0.05,3,retained_trainable,128,16,0.4674479166666667,0.3617800524007704,0.0,0.41666666666666663,1.0,0.2421875,16.8515625,5.645919217328012,0.734375,0.7350931186868687,4.5703125,0.2712100139082058,0.1502086230876217,0.2917693445046821,71.390625,27794.3359375,73.8260836172849,1.4375,2.0,0.0
2,always_on/echo_0.05,4,all_candidates,180,23,0.6176851851851852,0.42193763760469966,0.0,1.0,1.0,0.5166666666666667,12.5,7.72837484713169,0.48333333333333334,0.7756130443630442,3.8944444444444444,0.31155555555555553,0.2262222222222222,0.30628019323671496,68.26666666666667,20464.033333333333,54.54292767312791,2.7444444444444445,3.0,0.0
2,always_on/echo_0.05,4,retained_trainable,128,16,0.45455729166666664,0.407682915468489,0.0,0.3666666666666667,1.0,0.3125,15.8828125,6.559369603082582,0.6875,0.7061789339133089,5.3203125,0.33497294638465325,0.24889326119035907,0.31548556430446195,87.9921875,26754.3359375,69.53757951408625,2.6875,3.0,0.0
2,always_on/echo_0.05,5,all_candidates,232,31,0.6461925287356322,0.39781324593519785,0.0,1.0,1.0,0.5086206896551724,12.72844827586207,7.911659946521563,0.49137931034482757,0.7797056048971016,3.603448275862069,0.28310193024043345,0.17846258042668472,0.23778022785740535,67.1853448275862,21108.245689655174,56.01993798079162,3.7155172413793105,4.0,0.0
2,always_on/echo_0.05,5,retained_trainable,132,17,0.4311868686868687,0.3723243789957515,0.0,0.5,1.0,0.22727272727272727,17.757575757575758,4.714775633533776,0.7727272727272727,0.7070437846753637,5.446969696969697,0.306740614334471,0.19283276450511946,0.2472875226039783,92.89393939393939,30307.651515151516,78.07682674039494,3.6363636363636362,4.0,0.0
