variant,step,reward_mean,training_run_sd,num_training_runs
rlonly,1,0.4432792467948718,0.02313111726117054,2
rlonly,2,0.4295369560994561,0.012734583809393492,2
rlonly,3,0.4289688200495492,0.007829635397490993,2
rlonly,4,0.45997531295382854,0.001130559981567823,2
rlonly,5,0.4691326942733193,0.006087914642053228,2
rlonly,6,0.48677537971287976,0.022965869445237,2
rlonly,7,0.5096190507987383,0.036047233295739084,2
rlonly,8,0.5241697287087912,0.04782299305121338,2
rlonly,9,0.5133063472985347,0.04512884822385603,2
rlonly,10,0.5345887992216116,0.04565351239002495,2
rlonly,11,0.5298110051638176,0.028352540543727357,2
rlonly,12,0.5460349634971511,0.03380315531537373,2
rlonly,13,0.5789255884971509,0.031667103580539424,2
rlonly,14,0.5874514298433049,0.029233307764364048,2
rlonly,15,0.5809139699074074,0.05757112195318984,2
rlonly,16,0.5928307291666668,0.046172429694762464,2
rlonly,17,0.5978046875,0.029415472119768766,2
rlonly,18,0.586826586029711,0.01244793569190456,2
rlonly,19,0.5905896973303727,0.033881388048786286,2
rlonly,20,0.6033901780996035,0.03056852478789073,2
rlonly,21,0.6087141442065687,0.039828688336755055,2
rlonly,22,0.6029405413626533,0.049672706724478974,2
rlonly,23,0.5987483133952729,0.05015800207114135,2
rlonly,24,0.6201352421587139,0.046816114679545634,2
rlonly,25,0.6212406107484574,0.047131139816035825,2
rlonly,26,0.6171146757770234,0.06216741133154047,2
rlonly,27,0.6155835911209386,0.06994581975620003,2
rlonly,28,0.6273945455586081,0.08329764019152401,2
rlonly,29,0.6173815247252747,0.09322291506286644,2
rlonly,30,0.6157972788207163,0.0789273904013541,2
rlonly,31,0.6329976851851852,0.06864419128706212,2
rlonly,32,0.6502364793771045,0.049123981833567934,2
rlonly,33,0.6528728976463352,0.044217012059156034,2
rlonly,34,0.6601775851463352,0.012047336362986778,2
rlonly,35,0.6678960457944833,0.010228418745872154,2
rlonly,36,0.6726226082944833,0.007411040164581896,2
rlonly,37,0.6691728766025642,0.015127722359206942,2
rlonly,38,0.6576171875000001,0.021010646805568998,2
rlonly,39,0.6632682291666667,0.028192200051994933,2
rlonly,40,0.6501692708333333,0.04089802502644061,2
rlonly,41,0.6568489583333332,0.03480291188652537,2
rlonly,42,0.6551432291666667,0.03622080829671719,2
rlonly,43,0.6691536458333334,0.04270262045759387,2
rlonly,44,0.6594270833333333,0.05494808945470466,2
rlonly,45,0.67046875,0.039480128616248875,2
rlonly,46,0.6559505208333334,0.044212588063252685,2
rlonly,47,0.6558463541666667,0.044138931106879074,2
rlonly,48,0.6496484375,0.029186568963038475,2
rlonly,49,0.6517708333333334,0.034029513844602656,2
rlonly,50,0.635234375,0.04806116403377309,2
rlonly,51,0.6330078125,0.05511381760654527,2
rlonly,52,0.6221354166666666,0.05988310553173568,2
rlonly,53,0.6136718750000001,0.07568252267387268,2
rlonly,54,0.600703125,0.058299480969703416,2
rlonly,55,0.606171875,0.04172666578564371,2
rlonly,56,0.5993359375,0.028928769615730956,2
rlonly,57,0.6075130208333333,0.020347734198206582,2
rlonly,58,0.6150520833333333,0.012521682583511775,2
rlonly,59,0.62015625,0.010680258674171833,2
rlonly,60,0.6160937500000001,0.01200608388889658,2
rlonly,61,0.6186979166666666,0.00883883476483189,2
rlonly,62,0.6077734375,0.0027437216249165683,2
rlonly,63,0.5971875,0.009428090415820616,2
rlonly,64,0.60015625,0.010017346066809419,2
rlonly,65,0.5992187499999999,0.007218381724612624,2
rlonly,66,0.5931770833333334,0.010606601717798222,2
rlonly,67,0.5920052083333334,0.007918122810161882,2
rlonly,68,0.5952943497474747,0.004445085715697565,2
rlonly,69,0.5823776830808081,0.005476283104927951,2
rlonly,70,0.5842266414141415,0.010816412442013945,2
rlonly,71,0.5857891414141414,0.009195959401794757,2
rlonly,72,0.5951641414141413,0.01788748025387943,2
rlonly,73,0.5972437169312169,0.004204292303483528,2
rlonly,74,0.6122958002645502,0.011496330984469762,2
rlonly,75,0.6194181960978835,0.0247361688926241,2
rlonly,76,0.6298609044312169,0.026688078236524495,2
rlonly,77,0.6244181960978836,0.027829761060315334,2
rlonly,78,0.6249088541666666,0.024177895929633764,2
rlonly,79,0.6149088541666667,0.021305274631063437,2
rlonly,80,0.60640625,0.017309384747795732,2
rlonly,81,0.6043749999999999,0.0068500969427446505,2
rlonly,82,0.59203125,0.007071067811865481,2
rlonly,83,0.5880338541666666,0.02458300918968866,2
rlonly,84,0.6004491154100529,0.04562142349865238,2
rlonly,85,0.6090819279100529,0.06574818682773821,2
rlonly,86,0.6058657820767197,0.081124076470727,2
rlonly,87,0.619120990410053,0.07777268495572817,2
rlonly,88,0.6153840112433863,0.08696139026333465,2
rlonly,89,0.6069270833333333,0.09089268416502072,2
rlonly,90,0.6039453125,0.0910584123168614,2
rlonly,91,0.5980729166666667,0.09619598502391995,2
rlonly,92,0.6017708333333334,0.09906860632249027,2
rlonly,93,0.5985546875000001,0.09695096882674928,2
rlonly,94,0.5992317708333333,0.09717193969587011,2
rlonly,95,0.5972526041666666,0.09562514361202452,2
rlonly,96,0.6021484375,0.09945530534345162,2
rlonly,97,0.5891015625,0.10612125989526237,2
rlonly,98,0.6044161498091603,0.09989429518076993,2
rlonly,99,0.5972807331424936,0.09702167388219954,2
rlonly,100,0.584364066475827,0.10092549257000025,2
echo005,1,0.4751098025497512,0.024646222249262894,2
echo005,2,0.4378835723098219,0.009197145536598677,2
echo005,3,0.4386237704287701,0.00675853700764736,2
echo005,4,0.44866183823824424,0.0034937184226954015,2
echo005,5,0.45766684432796917,0.020472644267819976,2
echo005,6,0.4552278004846856,0.0029044553599088647,2
echo005,7,0.49395194367222034,0.0126897601414741,2
echo005,8,0.5127149645055535,0.024935229138584893,2
echo005,9,0.5179937145055535,0.014192214737582776,2
echo005,10,0.5293633813229817,0.018707492676239997,2
echo005,11,0.5573664021563149,0.005350392893538831,2
echo005,12,0.549845801523959,0.013453692511640596,2
echo005,13,0.577658301523959,0.010360100343949437,2
echo005,14,0.6187597598572925,0.014414564246223267,2
echo005,15,0.6302704592014805,0.018067995921765282,2
echo005,16,0.6368980633681471,0.025046992538163768,2
echo005,17,0.6530731797138047,0.04175493815273664,2
echo005,18,0.6462632838804714,0.05355846541160585,2
echo005,19,0.6263414088804714,0.017319242875795123,2
echo005,20,0.6449704638532763,0.01969999366476388,2
echo005,21,0.6451989202926702,0.01144204444224198,2
echo005,22,0.6521288971445222,0.007468660851199667,2
echo005,23,0.6723364037582787,0.016323705215510527,2
echo005,24,0.6801771489505865,0.013226996791972739,2
echo005,25,0.6668898827673162,0.007773743942477513,2
echo005,26,0.6718976042125375,0.002016810810406802,2
echo005,27,0.668892553707487,0.01408204346730044,2
echo005,28,0.6446616095937304,0.011054562053227884,2
echo005,29,0.6477720052744387,0.025321604226237793,2
echo005,30,0.6474400807525807,0.023618136173712178,2
echo005,31,0.6472664028679653,0.03122208373534213,2
echo005,32,0.6411308283730159,0.027414242293725237,2
echo005,33,0.6422766617063491,0.004175472557854788,2
echo005,34,0.6405963541666666,0.02028880863310771,2
echo005,35,0.6362083333333334,0.004809799251195986,2
echo005,36,0.6379557291666667,0.0017125242356861824,2
echo005,37,0.6395182291666667,0.0018966666266201687,2
echo005,38,0.6404947916666667,0.023017798866749543,2
echo005,39,0.6431510416666666,0.00515598694615193,2
echo005,40,0.6516796874999999,0.010845986826012514,2
echo005,41,0.6288932291666667,0.025430064187984904,2
echo005,42,0.6175260416666667,0.029352297114879078,2
echo005,43,0.6198828125,0.05375116391363375,2
echo005,44,0.6023697916666666,0.05608977227849535,2
echo005,45,0.5963020833333333,0.013110938234500578,2
echo005,46,0.6003125,0.005561100206206668,2
echo005,47,0.6100651041666667,0.002670064668542958,2
echo005,48,0.6075390624999999,0.000386699020961434,2
echo005,49,0.6108333333333333,0.0037565047750535716,2
echo005,50,0.6098307291666667,0.019132394418042212,2
echo005,51,0.619609375,0.008175922157469399,2
echo005,52,0.6204427083333334,0.014068478667357274,2
echo005,53,0.6096875,0.000257799347307518,2
echo005,54,0.6001302083333333,0.006665954551810665,2
echo005,55,0.6032221554487179,0.01777823960471233,2
echo005,56,0.5923106971153846,0.007650408103342379,2
echo005,57,0.588261217948718,0.03646869228451296,2
echo005,58,0.5877403846153846,0.02100073144605717,2
echo005,59,0.6018822115384614,0.04453582878333834,2
echo005,60,0.5935428685897435,0.0377140614391989,2
echo005,61,0.5994413060897436,0.05106438478191369,2
echo005,62,0.5882824519230769,0.04205982186524127,2
echo005,63,0.5934907852564102,0.05561270183798343,2
echo005,64,0.5873177083333334,0.044525630127840346,2
echo005,65,0.593203125,0.05402737750003473,2
echo005,66,0.5893098958333334,0.051320484353304927,2
echo005,67,0.5972916666666667,0.05936750683712057,2
echo005,68,0.5961848958333333,0.05308825130627126,2
echo005,69,0.5926302083333332,0.04688265273179556,2
echo005,70,0.5927864583333333,0.038227960357897814,2
echo005,71,0.5982552083333333,0.03903818687800729,2
echo005,72,0.5997656250000001,0.03321928732449302,2
echo005,73,0.592265625,0.025853591687133182,2
echo005,74,0.5898177083333334,0.017051585400488133,2
echo005,75,0.5730078125,0.013865922037329906,2
echo005,76,0.5561848958333333,0.007494595311013603,2
echo005,77,0.5263151041666667,0.023809611147765794,2
echo005,78,0.5150781249999999,0.02972058189674705,2
echo005,79,0.5155468750000001,0.034287313191910175,2
echo005,80,0.5042968750000001,0.037675533185095776,2
echo005,81,0.5141796875,0.04369698936863753,2
echo005,82,0.5174088541666666,0.043181390674022296,2
echo005,83,0.519765625,0.04312614795674207,2
echo005,84,0.5127473958333333,0.030401908743202925,2
echo005,85,0.506640625,0.037528219272348555,2
echo005,86,0.49417968749999996,0.029333882875785654,2
echo005,87,0.5094482664800994,0.048275263918157604,2
echo005,88,0.5245784748134328,0.04705992413799319,2
echo005,89,0.5279769123134328,0.07403678440982382,2
