run,step,population,rollouts,unique_tasks,reward_mean,reward_std,reward_p10,reward_median,reward_p90,success_rate,turns_mean,turns_std,ran_out_of_turns_rate,grounding_mean,invalid_actions_mean,invalid_action_rate,unrecognized_feedback_rate,adjacent_action_repeat_rate,completion_tokens_mean,prompt_tokens_processed_mean,generation_seconds_mean,policy_version_mean,policy_version_max,error_rate
always_on/echo_0.05,1,all_candidates,178,23,0.47565543071161054,0.4254142152718939,0.0,0.41666666666666663,1.0,0.33707865168539325,15.679775280898877,6.561184460334508,0.651685393258427,0.7992142930825663,3.466292134831461,0.22106771766391975,0.05696882837692583,0.29927286643704554,59.08988764044944,26465.988764044945,56.16692701216494,0.0,0.0,0.0
always_on/echo_0.05,1,retained_trainable,134,17,0.4925373134328358,0.40294092565730416,0.0,0.5,1.0,0.31343283582089554,16.19402985074627,5.988144521058179,0.6716417910447762,0.785698184485498,3.7686567164179103,0.23271889400921658,0.06497695852534562,0.26178781925343814,61.33582089552239,27220.18656716418,58.211589985819,0.0,0.0,0.0
always_on/echo_0.05,2,all_candidates,149,20,0.4841163310961969,0.3974721371559567,0.0,0.5,1.0,0.2953020134228188,15.751677852348994,6.862900985479052,0.7046979865771812,0.8196969696969697,3.1879194630872485,0.2023860247123988,0.06476352790796762,0.3116469517743403,57.899328859060404,27188.41610738255,66.0484342879097,0.6375838926174496,1.0,0.0
always_on/echo_0.05,2,retained_trainable,124,16,0.39623655913978495,0.3701801285216674,0.0,0.3333333333333333,1.0,0.18548387096774194,17.60483870967742,5.217554964990317,0.8145161290322581,0.7998050336760014,3.629032258064516,0.20613834173156206,0.0700870361887311,0.3118018455560952,63.983870967741936,30756.65322580645,73.04552441835403,0.5483870967741935,1.0,0.0
always_on/echo_0.05,3,all_candidates,170,24,0.5019607843137255,0.3781137547538113,0.0,0.5,1.0,0.3,16.111764705882354,6.60520136870234,0.711764705882353,0.7966802603394298,3.6470588235294117,0.22635998539612998,0.11610076670317634,0.3032308291163877,69.85882352941177,27107.241176470587,72.71048857324264,1.6176470588235294,2.0,0.0
always_on/echo_0.05,3,retained_trainable,128,16,0.4127604166666667,0.3257369074538594,0.0,0.3333333333333333,1.0,0.15625,18.4609375,4.284606063699877,0.859375,0.7731359518239114,4.359375,0.23614049936521372,0.12653406686415575,0.3073825503355705,80.9296875,31481.265625,83.81567767821252,1.5625,2.0,0.0
always_on/echo_0.05,4,all_candidates,168,23,0.5737103174603175,0.41214008277533254,0.0,0.5,1.0,0.44047619047619047,13.339285714285714,7.771920119696212,0.5595238095238095,0.7766369047619047,4.119047619047619,0.30879071842927264,0.19455600178491744,0.346840328027014,79.24404761904762,22132.72619047619,59.05872250170935,2.6726190476190474,3.0,0.0
always_on/echo_0.05,4,retained_trainable,128,16,0.5029947916666667,0.38979179802326086,0.0,0.5,1.0,0.328125,15.109375,7.2416270346777045,0.671875,0.7419704861111112,4.7578125,0.3148914167528438,0.1923474663908997,0.3183831672203765,89.4921875,25443.5625,67.49191494472325,2.5625,3.0,0.0
always_on/echo_0.05,5,all_candidates,198,28,0.6561447811447811,0.388972007456831,0.0,1.0,1.0,0.5151515151515151,12.429292929292929,7.9729688845112365,0.48484848484848486,0.7490403737841349,4.55050505050505,0.366111336854937,0.24705404307192197,0.2938577110030932,79.27777777777777,20260.49494949495,54.29690169686019,3.6414141414141414,4.0,0.0
always_on/echo_0.05,5,retained_trainable,132,17,0.5561868686868687,0.40234165854151743,0.0,0.5,1.0,0.4015151515151515,15.280303030303031,6.276838610198263,0.5984848484848485,0.6833849955006371,5.621212121212121,0.36787307882994547,0.2518591968269707,0.30716180371352786,97.24242424242425,25091.651515151516,66.49279536442323,3.4545454545454546,4.0,0.0
always_on/echo_0.05,6,all_candidates,141,19,0.47186761229314417,0.3836705000484906,0.0,0.5,1.0,0.2695035460992908,15.914893617021276,6.918460618454671,0.7304964539007093,0.678419452887538,6.113475177304965,0.3841354723707665,0.2713903743315508,0.26676176890156916,93.18439716312056,25918.624113475176,68.79714701192599,4.539007092198582,5.0,0.0
always_on/echo_0.05,6,retained_trainable,128,16,0.41822916666666665,0.3618674887677578,0.0,0.4,1.0,0.1953125,17.1171875,6.024197422880807,0.8046875,0.6525917658730158,6.6875,0.3906891830214514,0.2774988589685075,0.2680562287930199,100.96875,28082.046875,74.28789655677974,4.5,5.0,0.0
always_on/echo_0.05,7,all_candidates,243,33,0.6468449931412894,0.39342343394616813,0.0,1.0,1.0,0.5185185185185185,12.452674897119342,7.833190374665258,0.48559670781893005,0.7068801261917494,5.11522633744856,0.4107732980832783,0.3132848645076008,0.23751347466762487,74.06584362139918,19491.695473251028,51.48044811158514,5.753086419753086,6.0,0.0
always_on/echo_0.05,7,retained_trainable,122,16,0.6244535519125683,0.3569641807646117,0.2,0.5,1.0,0.4344262295081967,14.221311475409836,7.187776845795248,0.5737704918032787,0.6760227357020991,5.639344262295082,0.39654178674351587,0.29510086455331414,0.25666460012399256,85.09016393442623,22660.95901639344,59.197130949770816,5.80327868852459,6.0,0.0
always_on/echo_0.05,8,all_candidates,164,23,0.6120934959349594,0.4059363286423459,0.0,0.8,1.0,0.4329268292682927,13.896341463414634,7.704622387067725,0.5609756097560976,0.7422081768012165,4.7317073170731705,0.3405002193944713,0.23211935059236508,0.19621749408983452,78.3780487804878,22566.73780487805,60.362685193375846,6.603658536585366,7.0,0.0
always_on/echo_0.05,8,retained_trainable,128,15,0.5498697916666667,0.3929748548164528,0.0,0.5,1.0,0.3203125,16.4140625,5.888982488180258,0.671875,0.6901841372408444,5.8203125,0.3545930509281295,0.24654926225606855,0.1900658895083629,93.953125,26934.0390625,71.52441591210663,6.5625,7.0,0.0
always_on/echo_0.05,9,all_candidates,239,33,0.7066945606694561,0.3952816780305978,0.0,1.0,1.0,0.6150627615062761,10.99163179916318,7.8607076623096885,0.3891213389121339,0.8025976894546917,3.3179916317991633,0.3018652455272174,0.20898363151884278,0.22906197654941374,61.61087866108787,17439.50209205021,45.42248025399372,7.677824267782427,8.0,0.0
always_on/echo_0.05,9,retained_trainable,128,16,0.49140625,0.4126366796655163,0.0,0.5,1.0,0.3515625,15.328125,6.994539583444717,0.65625,0.6929422790750915,5.4140625,0.3532110091743119,0.24872579001019368,0.247546346782988,87.1875,25064.4296875,63.875758869573474,7.625,8.0,0.0
always_on/echo_0.05,10,all_candidates,233,30,0.5947067238912732,0.41564610042541267,0.0,0.6666666666666666,1.0,0.463519313304721,13.78969957081545,7.733405403650459,0.5407725321888412,0.7672870595044354,4.351931330472103,0.31559290382819793,0.22377840024898848,0.15335570469798657,77.33905579399142,22753.364806866954,60.420855047365116,8.768240343347639,9.0,0.0
